Notes,State,State Code,Year,Year Code,Diabetes,Diabetes Code,Tobacco Use,Tobacco Use Code,Births
,Alabama,1,2014,2014,Yes,1,Yes,1,291
,Alabama,1,2014,2014,Yes,1,No,2,2619
,Alabama,1,2014,2014,No,2,Yes,1,6075
,Alabama,1,2014,2014,No,2,No,2,50145
,Alabama,1,2015,2015,Yes,1,Yes,1,293
,Alabama,1,2015,2015,Yes,1,No,2,2817
,Alabama,1,2015,2015,No,2,Yes,1,5877
,Alabama,1,2015,2015,No,2,No,2,50396
,Alaska,2,2013,2013,Yes,1,Yes,1,168
,Alaska,2,2013,2013,Yes,1,No,2,843
,Alaska,2,2013,2013,No,2,Yes,1,1316
,Alaska,2,2013,2013,No,2,No,2,8639
,Alaska,2,2014,2014,Yes,1,Yes,1,152
,Alaska,2,2014,2014,Yes,1,No,2,850
,Alaska,2,2014,2014,No,2,Yes,1,1296
,Alaska,2,2014,2014,No,2,No,2,8585
,Alaska,2,2015,2015,Yes,1,Yes,1,161
,Alaska,2,2015,2015,Yes,1,No,2,864
,Alaska,2,2015,2015,No,2,Yes,1,1176
,Alaska,2,2015,2015,No,2,No,2,8530
,Arizona,4,2014,2014,Yes,1,Yes,1,284
,Arizona,4,2014,2014,Yes,1,No,2,5839
,Arizona,4,2014,2014,No,2,Yes,1,4390
,Arizona,4,2014,2014,No,2,No,2,76284
,Arizona,4,2015,2015,Yes,1,Yes,1,342
,Arizona,4,2015,2015,Yes,1,No,2,6871
,Arizona,4,2015,2015,No,2,Yes,1,4142
,Arizona,4,2015,2015,No,2,No,2,73907
,Arkansas,5,2014,2014,Yes,1,Yes,1,276
,Arkansas,5,2014,2014,Yes,1,No,2,1759
,Arkansas,5,2014,2014,No,2,Yes,1,5453
,Arkansas,5,2014,2014,No,2,No,2,30673
,Arkansas,5,2015,2015,Yes,1,Yes,1,293
,Arkansas,5,2015,2015,Yes,1,No,2,1772
,Arkansas,5,2015,2015,No,2,Yes,1,5300
,Arkansas,5,2015,2015,No,2,No,2,31050
,California,6,2007,2007,Yes,1,Yes,1,528
,California,6,2007,2007,Yes,1,No,2,19586
,California,6,2007,2007,No,2,Yes,1,14747
,California,6,2007,2007,No,2,No,2,517872
,California,6,2008,2008,Yes,1,Yes,1,548
,California,6,2008,2008,Yes,1,No,2,19093
,California,6,2008,2008,No,2,Yes,1,13039
,California,6,2008,2008,No,2,No,2,507641
,California,6,2009,2009,Yes,1,Yes,1,506
,California,6,2009,2009,Yes,1,No,2,20292
,California,6,2009,2009,No,2,Yes,1,11929
,California,6,2009,2009,No,2,No,2,484718
,California,6,2010,2010,Yes,1,Yes,1,502
,California,6,2010,2010,Yes,1,No,2,20541
,California,6,2010,2010,No,2,Yes,1,11546
,California,6,2010,2010,No,2,No,2,472756
,California,6,2011,2011,Yes,1,Yes,1,542
,California,6,2011,2011,Yes,1,No,2,23383
,California,6,2011,2011,No,2,Yes,1,10550
,California,6,2011,2011,No,2,No,2,462848
,California,6,2012,2012,Yes,1,Yes,1,597
,California,6,2012,2012,Yes,1,No,2,27086
,California,6,2012,2012,No,2,Yes,1,9700
,California,6,2012,2012,No,2,No,2,461392
,California,6,2013,2013,Yes,1,Yes,1,611
,California,6,2013,2013,Yes,1,No,2,28276
,California,6,2013,2013,No,2,Yes,1,9156
,California,6,2013,2013,No,2,No,2,453281
,California,6,2014,2014,Yes,1,Yes,1,573
