Notes,Census Region,Census Region Code,Year,Year Code,Age of Mother Year,Age of Mother Year Code,Births
,Census Region 1: Northeast,CENS-R1,2007,2007,13 years,13,73
,Census Region 1: Northeast,CENS-R1,2007,2007,14 years,14,517
,Census Region 1: Northeast,CENS-R1,2007,2007,15 years,15,1938
,Census Region 1: Northeast,CENS-R1,2007,2007,16 years,16,4541
,Census Region 1: Northeast,CENS-R1,2007,2007,17 years,17,8750
,Census Region 1: Northeast,CENS-R1,2007,2007,18 years,18,14377
,Census Region 1: Northeast,CENS-R1,2007,2007,19 years,19,20677
,Census Region 1: Northeast,CENS-R1,2007,2007,20 years,20,23684
,Census Region 1: Northeast,CENS-R1,2007,2007,21 years,21,25644
,Census Region 1: Northeast,CENS-R1,2007,2007,22 years,22,27485
,Census Region 1: Northeast,CENS-R1,2007,2007,23 years,23,28672
,Census Region 1: Northeast,CENS-R1,2007,2007,24 years,24,30649
,Census Region 1: Northeast,CENS-R1,2007,2007,25 years,25,33091
,Census Region 1: Northeast,CENS-R1,2007,2007,26 years,26,34509
,Census Region 1: Northeast,CENS-R1,2007,2007,27 years,27,36786
,Census Region 1: Northeast,CENS-R1,2007,2007,28 years,28,38676
,Census Region 1: Northeast,CENS-R1,2007,2007,29 years,29,40155
,Census Region 1: Northeast,CENS-R1,2007,2007,30 years,30,40500
,Census Region 1: Northeast,CENS-R1,2007,2007,31 years,31,39220
,Census Region 1: Northeast,CENS-R1,2007,2007,32 years,32,37348
,Census Region 1: Northeast,CENS-R1,2007,2007,33 years,33,34611
,Census Region 1: Northeast,CENS-R1,2007,2007,34 years,34,32046
,Census Region 1: Northeast,CENS-R1,2007,2007,35 years,35,29517
,Census Region 1: Northeast,CENS-R1,2007,2007,36 years,36,26367
,Census Region 1: Northeast,CENS-R1,2007,2007,37 years,37,21777
,Census Region 1: Northeast,CENS-R1,2007,2007,38 years,38,16585
,Census Region 1: Northeast,CENS-R1,2007,2007,39 years,39,12906
,Census Region 1: Northeast,CENS-R1,2007,2007,40 years,40,9347
,Census Region 1: Northeast,CENS-R1,2007,2007,41 years,41,6470
,Census Region 1: Northeast,CENS-R1,2007,2007,42 years,42,4255
,Census Region 1: Northeast,CENS-R1,2007,2007,43 years,43,2498
,Census Region 1: Northeast,CENS-R1,2007,2007,44 years,44,1472
,Census Region 1: Northeast,CENS-R1,2007,2007,45 years,45,803
,Census Region 1: Northeast,CENS-R1,2007,2007,46 years,46,423
,Census Region 1: Northeast,CENS-R1,2007,2007,47 years,47,268
,Census Region 1: Northeast,CENS-R1,2007,2007,48 years,48,142
,Census Region 1: Northeast,CENS-R1,2007,2007,49 years,49,78
,Census Region 1: Northeast,CENS-R1,2008,2008,13 years,13,82
,Census Region 1: Northeast,CENS-R1,2008,2008,14 years,14,478
,Census Region 1: Northeast,CENS-R1,2008,2008,15 years,15,1852
,Census Region 1: Northeast,CENS-R1,2008,2008,16 years,16,4409
,Census Region 1: Northeast,CENS-R1,2008,2008,17 years,17,8381
,Census Region 1: Northeast,CENS-R1,2008,2008,18 years,18,14106
,Census Region 1: Northeast,CENS-R1,2008,2008,19 years,19,20263
,Census Region 1: Northeast,CENS-R1,2008,2008,20 years,20,23643
,Census Region 1: Northeast,CENS-R1,2008,2008,21 years,21,25448
,Census Region 1: Northeast,CENS-R1,2008,2008,22 years,22,27010
,Census Region 1: Northeast,CENS-R1,2008,2008,23 years,23,28373
,Census Region 1: Northeast,CENS-R1,2008,2008,24 years,24,29646
,Census Region 1: Northeast,CENS-R1,2008,2008,25 years,25,31637
,Census Region 1: Northeast,CENS-R1,2008,2008,26 years,26,34010
,Census Region 1: Northeast,CENS-R1,2008,2008,27 years,27,36273
,Census Region 1: Northeast,CENS-R1,2008,2008,28 years,28,38476
,Census Region 1: Northeast,CENS-R1,2008,2008,29 years,29,39835
,Census Region 1: Northeast,CENS-R1,2008,2008,30 years,30,39690
,Census Region 1: Northeast,CENS-R1,2008,2008,31 years,31,39577
,Census Region 1: Northeast,CENS-R1,2008,2008,32 years,32,36828
,Census Region 1: Northeast,CENS-R1,2008,2008,33 years,33,34356
,Census Region 1: Northeast,CENS-R1,2008,2008,34 years,34,31036
,Census Region 1: Northeast,CENS-R1,2008,2008,35 years,35,27994
,Census Region 1: Northeast,CENS-R1,2008,2008,36 years,36,24504
,Census Region 1: Northeast,CENS-R1,2008,2008,37 years,37,21537
,Census Region 1: Northeast,CENS-R1,2008,2008,38 years,38,17162
,Census Region 1: Northeast,CENS-R1,2008,2008,39 years,39,13027
,Census Region 1: Northeast,CENS-R1,2008,2008,40 years,40,9361
,Census Region 1: Northeast,CENS-R1,2008,2008,41 years,41,6432
,Census Region 1: Northeast,CENS-R1,2008,2008,42 years,42,4184
,Census Region 1: Northeast,CENS-R1,2008,2008,43 years,43,2638
,Census Region 1: Northeast,CENS-R1,2008,2008,44 years,44,1431
,Census Region 1: Northeast,CENS-R1,2008,2008,45 years,45,814
,Census Region 1: Northeast,CENS-R1,2008,2008,46 years,46,395
,Census Region 1: Northeast,CENS-R1,2008,2008,47 years,47,221
,Census Region 1: Northeast,CENS-R1,2008,2008,48 years,48,139
,Census Region 1: Northeast,CENS-R1,2008,2008,49 years,49,85
,Census Region 1: Northeast,CENS-R1,2009,2009,13 years,13,67
